"n","distribution","estimand","method","coverage_rate","mean_width","sd_width","left_tail_coverage","right_tail_coverage","n_successful","se_coverage"
20,"normal","mean","percentile",0.9241,1.6765787217355,0.276717887772914,0.9612,0.9629,10000,0.00264838044850055
20,"normal","mean","basic",0.9221,1.6765787217355,0.276717887772914,0.9608,0.9613,10000,0.0026801416007368
20,"normal","mean","normal",0.9261,1.68589348543342,0.276035052107629,0.9623,0.9638,10000,0.00261608084737456
20,"normal","mean","bca",0.9246,1.70082377108728,0.281696363454999,0.962,0.9626,10000,0.00264035679407159
20,"normal","mean","t_interval",0.9471,1.84730549755344,0.29931451849606,0.9726,0.9745,10000,0.00223833844625874
30,"normal","mean","percentile",0.9322,1.38578497501766,0.187215633593261,0.9647,0.9675,10000,0.00251402386623516
30,"normal","mean","basic",0.9319,1.38578497501766,0.187215633593261,0.9642,0.9677,10000,0.002519174269478
30,"normal","mean","normal",0.9366,1.39280300220488,0.186112407944162,0.9667,0.9699,10000,0.00243681021009023
30,"normal","mean","bca",0.9342,1.40185635785747,0.189962813317834,0.9656,0.9686,10000,0.00247932168142821
30,"normal","mean","t_interval",0.9507,1.47895349517975,0.194431268669394,0.9742,0.9765,10000,0.00216493671962947
40,"normal","mean","percentile",0.9398,1.21030417203786,0.142485712793759,0.9682,0.9716,10000,0.00237857015872982
40,"normal","mean","basic",0.9395,1.21030417203786,0.142485712793759,0.968,0.9715,10000,0.00238410884818626
40,"normal","mean","normal",0.9411,1.21620423422506,0.140699290138843,0.9691,0.972,10000,0.00235437443920885
40,"normal","mean","bca",0.9415,1.22295320918417,0.143858547755873,0.9696,0.9719,10000,0.0023468649300716
40,"normal","mean","t_interval",0.9504,1.27196599806703,0.143949867133461,0.9738,0.9766,10000,0.00217117111255654
50,"normal","mean","percentile",0.9366,1.08798261647033,0.11464875088154,0.9679,0.9687,10000,0.00243681021009023
50,"normal","mean","basic",0.9356,1.08798261647033,0.11464875088154,0.967,0.9686,10000,0.00245464131799332
50,"normal","mean","normal",0.9381,1.09314802557247,0.112777236265329,0.9685,0.9696,10000,0.00240973836754117
50,"normal","mean","bca",0.9379,1.09836962580369,0.115734727491866,0.9687,0.9692,10000,0.00241337087908179
50,"normal","mean","t_interval",0.9455,1.13256946310247,0.11395227596775,0.9718,0.9737,10000,0.00227001651976368
100,"normal","mean","percentile",0.947,0.776081016256789,0.0600910806962466,0.9728,0.9742,10000,0.00224033479640879
100,"normal","mean","basic",0.9472,0.776081016256789,0.0600910806962466,0.9725,0.9747,10000,0.00223633986683599
100,"normal","mean","normal",0.948,0.779322682044942,0.058249786913468,0.973,0.975,10000,0.00222027025382047
100,"normal","mean","bca",0.9478,0.782967634876563,0.0606675065698954,0.9733,0.9745,10000,0.00222430123859157
100,"normal","mean","t_interval",0.9538,0.793068029902059,0.0565990746490242,0.976,0.9778,10000,0.00209917983984222
200,"normal","mean","percentile",0.9476,0.549820866160697,0.0324142087287705,0.9717,0.9759,10000,0.00222832313635164
200,"normal","mean","basic",0.9455,0.549820866160697,0.0324142087287705,0.9706,0.9749,10000,0.00227001651976368
200,"normal","mean","normal",0.9487,0.552304352788376,0.030398125338248,0.9724,0.9763,10000,0.00220608952674183
200,"normal","mean","bca",0.9472,0.554613226680012,0.0328605021842196,0.9713,0.9759,10000,0.00223633986683599
200,"normal","mean","t_interval",0.9517,0.5571733043701,0.0281919190075453,0.9742,0.9775,10000,0.00214399416976819
20,"normal","median","percentile",0.9393,2.09453158691456,0.579685681379483,0.9693,0.97,10000,0.00238779207637516
20,"normal","median","basic",0.8313,2.09453158691456,0.579685681379483,0.9172,0.9141,10000,0.00374486728736814
20,"normal","median","normal",0.9306,2.19993875326633,0.643391003601764,0.9662,0.9644,10000,0.00254133114725334
20,"normal","median","bca",0.9394,2.14159071220983,0.595674521148326,0.9788,0.9606,10000,0.00238595138257258
20,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"normal","median","percentile",0.9415,1.73441767520921,0.447465061873706,0.9717,0.9698,10000,0.0023468649300716
30,"normal","median","basic",0.8453,1.73441767520921,0.447465061873706,0.9249,0.9204,10000,0.00361618459152737
30,"normal","median","normal",0.9327,1.80871727564009,0.494878943842834,0.9673,0.9654,10000,0.00250540834995016
30,"normal","median","bca",0.9403,1.76447020495654,0.455324547797276,0.9806,0.9597,10000,0.0023693017958884
30,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"normal","median","percentile",0.9436,1.52113351654522,0.375819364313476,0.9723,0.9713,10000,0.0023069252263565
40,"normal","median","basic",0.8531,1.52113351654522,0.375819364313476,0.9251,0.928,10000,0.00354006200510669
40,"normal","median","normal",0.9327,1.56933169499107,0.411973955357672,0.9669,0.9658,10000,0.00250540834995016
40,"normal","median","bca",0.9431,1.53518806491876,0.380475831243059,0.978,0.9651,10000,0.00231651440746653
40,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"normal","median","percentile",0.9456,1.36680218311705,0.324550649770198,0.9743,0.9713,10000,0.00226805290943576
50,"normal","median","basic",0.8627,1.36680218311705,0.324550649770198,0.9351,0.9276,10000,0.00344163783684455
50,"normal","median","normal",0.938,1.40819322039242,0.352273004178624,0.972,0.966,10000,0.00241155551460048
50,"normal","median","bca",0.9435,1.37479392099656,0.325440781916962,0.9797,0.9638,10000,0.00230884711490389
50,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"normal","median","percentile",0.9496,0.971540506726302,0.201139051757788,0.9742,0.9754,10000,0.00218768919181862
100,"normal","median","basic",0.8815,0.971540506726302,0.201139051757788,0.9367,0.9448,10000,0.00323199241954557
100,"normal","median","normal",0.9405,0.996427931076306,0.21907595513613,0.9686,0.9719,10000,0.00236558132390328
100,"normal","median","bca",0.9517,0.980022519911248,0.201898077056518,0.9793,0.9724,10000,0.00214399416976819
100,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"normal","median","percentile",0.9492,0.689465134610946,0.125352774609413,0.975,0.9742,10000,0.00219589070766284
200,"normal","median","basic",0.896,0.689465134610946,0.125352774609413,0.9476,0.9484,10000,0.00305260544453423
200,"normal","median","normal",0.9427,0.704742123348097,0.134977167902576,0.9713,0.9714,10000,0.00232414952186816
200,"normal","median","bca",0.95,0.695799466255258,0.125868505273839,0.9785,0.9715,10000,0.00217944947177034
200,"normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"normal","sd","percentile",0.861,1.1207871751592,0.284001659067508,0.995,0.866,10000,0.00345946527659984
20,"normal","sd","basic",0.8902,1.1207871751592,0.284001659067508,0.9641,0.9261,10000,0.00312640304503434
20,"normal","sd","normal",0.8902,1.13530193542723,0.296854937511476,0.9862,0.904,10000,0.00312640304503434
20,"normal","sd","bca",0.893027192889641,1.14163037192055,0.303941996585508,0.962543646175008,0.930483546714633,10000,0.00309078672265313
20,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"normal","sd","percentile",0.888,0.937980646295685,0.201984779951297,0.9932,0.8948,10000,0.00315366453510832
30,"normal","sd","basic",0.9077,0.937980646295685,0.201984779951297,0.9697,0.938,10000,0.00289448976505359
30,"normal","sd","normal",0.9072,0.946882739882512,0.208005494752918,0.9862,0.921,10000,0.00290151960186382
30,"normal","sd","bca",0.913570192405579,0.975107898352914,0.229934620511198,0.963962129695612,0.949608062709966,10000,0.00280997679623182
30,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"normal","sd","percentile",0.9018,0.823210942449506,0.159829474333293,0.9906,0.9112,10000,0.00297584878648093
40,"normal","sd","basic",0.919,0.823210942449506,0.159829474333293,0.9736,0.9454,10000,0.00272835115042034
40,"normal","sd","normal",0.9161,0.82984243320516,0.162779487396748,0.9853,0.9308,10000,0.00277237786024921
40,"normal","sd","bca",0.925389643036702,0.858468382843334,0.183883034904194,0.967722473604827,0.957667169431875,10000,0.00262761586989246
40,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"normal","sd","percentile",0.9084,0.745641474386973,0.132816284352252,0.9905,0.9179,10000,0.00288460465228773
50,"normal","sd","basic",0.9251,0.745641474386973,0.132816284352252,0.9778,0.9473,10000,0.00263229918512315
50,"normal","sd","normal",0.9209,0.751008270304362,0.134755665892763,0.9868,0.9341,10000,0.00269894775792345
50,"normal","sd","bca",0.930246542393265,0.778147002390575,0.155563740554909,0.969031870114251,0.961214672279014,10000,0.00254731059666151
50,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"normal","sd","percentile",0.9248,0.538371941160021,0.0723006670210538,0.988,0.9368,10000,0.00263713784243448
100,"normal","sd","basic",0.9327,0.538371941160021,0.0723006670210538,0.9791,0.9536,10000,0.00250540834995016
100,"normal","sd","normal",0.9309,0.541358965672474,0.0721923992048383,0.9842,0.9467,10000,0.0025362411162979
100,"normal","sd","bca",0.9394,0.555736582696086,0.0819439392453976,0.9717,0.9677,10000,0.00238595138257258
100,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"normal","sd","percentile",0.9349,0.384391918280987,0.038087899735088,0.983,0.9519,10000,0.00246702229418382
200,"normal","sd","basic",0.939,0.384391918280987,0.038087899735088,0.9776,0.9614,10000,0.00239330315672712
200,"normal","sd","normal",0.939,0.386430481594231,0.0376411313555609,0.9808,0.9582,10000,0.00239330315672712
200,"normal","sd","bca",0.9418,0.393215410425362,0.041561155792298,0.9686,0.9732,10000,0.00234121250637357
200,"normal","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"normal","cv","percentile",0.8673,0.26665541670554,0.0866209532387322,0.9931,0.8742,10000,0.00339250217391235
20,"normal","cv","basic",0.9051,0.26665541670554,0.0866209532387322,0.9904,0.9147,10000,0.00293076764688025
20,"normal","cv","normal",0.8909,0.26919241858475,0.0883940251471459,0.9938,0.8971,10000,0.00311764638790226
20,"normal","cv","bca",0.899196956889265,0.291177774701582,0.111575436933779,0.965553677092139,0.933643279797126,10000,0.00301067749203316
20,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"normal","cv","percentile",0.8887,0.220068054869646,0.0587868241025908,0.9915,0.8972,10000,0.00314503275022693
30,"normal","cv","basic",0.9129,0.220068054869646,0.0587868241025908,0.9893,0.9236,10000,0.00281981541949114
30,"normal","cv","normal",0.9047,0.221747066856318,0.0598148102123354,0.9915,0.9132,10000,0.00293628864384958
30,"normal","cv","bca",0.909966541620197,0.23951013040402,0.0749855443641785,0.964716617661969,0.945249923958228,10000,0.00286229688802499
30,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"normal","cv","percentile",0.9039,0.193181397049318,0.0459050193595871,0.9893,0.9146,10000,0.00294728332536931
40,"normal","cv","basic",0.9205,0.193181397049318,0.0459050193595871,0.9879,0.9326,10000,0.00270517559504
40,"normal","cv","normal",0.9141,0.194528023909072,0.0463750817342746,0.9898,0.9243,10000,0.00280216327147438
40,"normal","cv","bca",0.921777599034788,0.208648827634712,0.057588160443001,0.965111602654333,0.956665996380454,10000,0.00268521241156914
40,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"normal","cv","percentile",0.9137,0.17339738315499,0.0364540808294134,0.9866,0.9271,10000,0.00280806534824245
50,"normal","cv","basic",0.925,0.17339738315499,0.0364540808294134,0.9865,0.9385,10000,0.00263391343821318
50,"normal","cv","normal",0.9212,0.174539526005156,0.0368109818112203,0.9872,0.934,10000,0.00269426353573662
50,"normal","cv","bca",0.929745439967929,0.185535441611713,0.0448287410632507,0.966426137502506,0.963319302465424,10000,0.00255575540353084
50,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"normal","cv","percentile",0.931,0.124744669211887,0.0191345132445325,0.9865,0.9445,10000,0.00253454137863243
100,"normal","cv","basic",0.935,0.124744669211887,0.0191345132445325,0.9856,0.9494,10000,0.00246525860712421
100,"normal","cv","normal",0.9351,0.125357942094877,0.0191437197228062,0.9869,0.9482,10000,0.00246349325146224
100,"normal","cv","bca",0.940888177635527,0.130171220981097,0.0219721199048425,0.970694138827766,0.970194038807762,10000,0.00235833871234019
100,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"normal","cv","percentile",0.9339,0.0887030839210807,0.00998635113863525,0.9855,0.9484,10000,0.00248456817173528
200,"normal","cv","basic",0.9381,0.0887030839210807,0.00998635113863525,0.9857,0.9524,10000,0.00240973836754117
200,"normal","cv","normal",0.9375,0.0891273124226828,0.0098730250001732,0.986,0.9515,10000,0.00242061459137964
200,"normal","cv","bca",0.9426,0.0911825444098674,0.0109354351127612,0.9725,0.9701,10000,0.00232605330979322
200,"normal","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"chisq","mean","percentile",0.917,3.70779016464426,0.749177950770649,0.9718,0.9452,10000,0.00275882221246676
20,"chisq","mean","basic",0.9136,3.70779016464426,0.749177950770649,0.9788,0.9348,10000,0.00280953804031908
20,"chisq","mean","normal",0.9198,3.73345504141258,0.752500995740928,0.9769,0.9429,10000,0.00271602577307359
20,"chisq","mean","bca",0.919,3.80835405282625,0.815573909428813,0.9667,0.9523,10000,0.00272835115042034
20,"chisq","mean","t_interval",0.9417,4.09081141454229,0.818054836648162,0.9865,0.9552,10000,0.00234309858947506
30,"chisq","mean","percentile",0.9295,3.08856167765384,0.512701979743189,0.9762,0.9533,10000,0.00255987792677698
30,"chisq","mean","basic",0.9254,3.08856167765384,0.512701979743189,0.9805,0.9449,10000,0.00262744819168714
30,"chisq","mean","normal",0.9304,3.10630509016522,0.51273344439182,0.9798,0.9506,10000,0.00254471688012635
30,"chisq","mean","bca",0.933,3.15670809277354,0.552493870145153,0.9705,0.9625,10000,0.00250021999032085
30,"chisq","mean","t_interval",0.9439,3.29704149902935,0.539328787058488,0.9855,0.9584,10000,0.00230114732253283
40,"chisq","mean","percentile",0.9358,2.69868372845251,0.386002422372812,0.974,0.9618,10000,0.00245108873768373
40,"chisq","mean","basic",0.9349,2.69868372845251,0.386002422372812,0.981,0.9539,10000,0.00246702229418382
40,"chisq","mean","normal",0.9374,2.71315257559239,0.384069569538768,0.9786,0.9588,10000,0.00242242110294639
40,"chisq","mean","bca",0.9387,2.74999059652235,0.409753517233678,0.9699,0.9688,10000,0.00239879782391097
40,"chisq","mean","t_interval",0.9486,2.83624961266812,0.395840411797359,0.9842,0.9644,10000,0.00220812227922278
50,"chisq","mean","percentile",0.9368,2.41787245961128,0.311947811918015,0.975,0.9618,10000,0.00243322337651108
50,"chisq","mean","basic",0.9382,2.41787245961128,0.311947811918015,0.9817,0.9565,10000,0.00240791943386817
50,"chisq","mean","normal",0.9388,2.43016463518262,0.30991192988469,0.979,0.9598,10000,0.00239696808489392
50,"chisq","mean","bca",0.9382,2.45895575990342,0.329557994921108,0.9693,0.9689,10000,0.00240791943386817
50,"chisq","mean","t_interval",0.9484,2.51857442459448,0.316072718085848,0.9833,0.9651,10000,0.00221218082443547
100,"chisq","mean","percentile",0.9434,1.72702431003232,0.163477030119015,0.9796,0.9638,10000,0.00231076697224103
100,"chisq","mean","basic",0.9405,1.72702431003232,0.163477030119015,0.9823,0.9582,10000,0.00236558132390328
100,"chisq","mean","normal",0.9445,1.73539103982126,0.160993430712583,0.9819,0.9626,10000,0.0022895359791888
100,"chisq","mean","bca",0.946,1.74897598590309,0.168696202421319,0.9759,0.9701,10000,0.00226017698422048
100,"chisq","mean","t_interval",0.9488,1.7662804228017,0.158450968795752,0.9836,0.9652,10000,0.00220405444578849
200,"chisq","mean","percentile",0.9428,1.2277978727806,0.0863358712900271,0.977,0.9658,10000,0.00232224374259034
200,"chisq","mean","basic",0.9426,1.2277978727806,0.0863358712900271,0.98,0.9626,10000,0.00232605330979322
200,"chisq","mean","normal",0.9441,1.23320633989196,0.0831355637875691,0.9796,0.9645,10000,0.00229728513685176
200,"chisq","mean","bca",0.9441,1.2405507332426,0.0881861262266604,0.9737,0.9704,10000,0.00229728513685176
200,"chisq","mean","t_interval",0.9458,1.24414759181664,0.0788723324717068,0.9806,0.9652,10000,0.00226411925480969
20,"chisq","sd","percentile",0.7372,2.71960657704184,1.0571902029008,0.7446,0.9926,10000,0.00440154700077143
20,"chisq","sd","basic",0.4691,2.71960657704184,1.0571902029008,0.4717,0.9974,10000,0.00499044276592769
20,"chisq","sd","normal",0.6304,2.79949613744396,1.19235385738462,0.6344,0.996,10000,0.00482696426338543
20,"chisq","sd","bca",0.472868217054264,2.55119244184297,0.881894138706637,0.476326774001193,0.996541443053071,10000,0.00499263323662159
20,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"chisq","sd","percentile",0.5564,2.35259239434666,0.826975676975266,0.558,0.9984,10000,0.00496808856603825
30,"chisq","sd","basic",0.3622,2.35259239434666,0.826975676975266,0.3631,0.9991,10000,0.00480636203380478
30,"chisq","sd","normal",0.4727,2.4032622484997,0.90934351983934,0.474,0.9987,10000,0.00499254153713317
30,"chisq","sd","bca",0.315042678195322,2.31799794968315,0.747203312822507,0.316040350293759,0.999002327901563,10000,0.00464532871937865
30,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"chisq","sd","percentile",0.3969,2.09024394506115,0.675937652151576,0.3975,0.9994,10000,0.00489254933546919
40,"chisq","sd","basic",0.263,2.09024394506115,0.675937652151576,0.2635,0.9995,10000,0.00440262421744123
40,"chisq","sd","normal",0.3376,2.12705082254687,0.726777078292399,0.3381,0.9995,10000,0.00472891361731212
40,"chisq","sd","bca",0.202777777777778,2.12267050533988,0.677318285663221,0.203205128205128,0.99957264957265,10000,0.00402068340729886
40,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"chisq","sd","percentile",0.2724,1.92421018064962,0.588242164718016,0.2724,1,10000,0.00445194609131782
50,"chisq","sd","basic",0.1899,1.92421018064962,0.588242164718016,0.1899,1,10000,0.00392221863235593
50,"chisq","sd","normal",0.2373,1.95396613266393,0.624764187530887,0.2373,1,10000,0.00425427678930274
50,"chisq","sd","bca",0.133256205300799,1.97912617278334,0.613983621953285,0.133256205300799,1,10000,0.00339851422020904
50,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"chisq","sd","percentile",0.0344,1.4344197986183,0.359232452712226,0.0344,1,10000,0.0018225432779498
100,"chisq","sd","basic",0.0282,1.4344197986183,0.359232452712226,0.0282,1,10000,0.00165543831053893
100,"chisq","sd","normal",0.0326,1.44857768294078,0.373726986709476,0.0326,1,10000,0.00177587274318854
100,"chisq","sd","bca",0.0127375657096644,1.50607162107016,0.409900366323191,0.0127375657096644,1,10000,0.00112139734837641
100,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"chisq","sd","percentile",2e-04,1.05407710815556,0.212631614535346,2e-04,1,10000,0.000141407213394508
200,"chisq","sd","basic",3e-04,1.05407710815556,0.212631614535346,3e-04,1,10000,0.000173179098045925
200,"chisq","sd","normal",3e-04,1.06157392914307,0.217601284816792,3e-04,1,10000,0.000173179098045925
200,"chisq","sd","bca",0,1.10258184233897,0.25472471236443,0,1,10000,0
200,"chisq","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"exponential","mean","percentile",0.905,4.04825756840938,1.20392541878153,0.982,0.923,10000,0.00293214938227915
20,"exponential","mean","basic",0.8852,4.04825756840938,1.20392541878153,0.9902,0.895,10000,0.00318780425998837
20,"exponential","mean","normal",0.8994,4.09595938151659,1.22779070000294,0.988,0.9114,10000,0.00300798337761365
20,"exponential","mean","bca",0.918710581639804,4.34579413610104,1.46194854510913,0.972469716688357,0.946240864951447,10000,0.00273279067663181
20,"exponential","mean","t_interval",0.922,4.48982496967021,1.33933711960191,0.9935,0.9285,10000,0.00268171586861845
30,"exponential","mean","percentile",0.9145,3.38128457526378,0.843575610145393,0.9825,0.932,10000,0.0027962430151902
30,"exponential","mean","basic",0.9023,3.38128457526378,0.843575610145393,0.9908,0.9115,10000,0.00296908588626197
30,"exponential","mean","normal",0.9133,3.41152157313426,0.85463839232913,0.9886,0.9247,10000,0.0028139493598855
30,"exponential","mean","bca",0.921368547418968,3.58015177506237,0.992408287508777,0.970588235294118,0.95078031212485,10000,0.00269162678033247
30,"exponential","mean","t_interval",0.9262,3.61997187215375,0.90286504161034,0.9922,0.934,10000,0.00261445137648418
40,"exponential","mean","percentile",0.9197,2.97626768026337,0.645800941821545,0.9809,0.9388,10000,0.00271757079024632
40,"exponential","mean","basic",0.9084,2.97626768026337,0.645800941821545,0.9878,0.9206,10000,0.00288460465228773
40,"exponential","mean","normal",0.9176,2.99765247265555,0.651605003229964,0.9859,0.9317,10000,0.00274973162326799
40,"exponential","mean","bca",0.928285657131426,3.12299957775434,0.744589386912145,0.970194038807762,0.958091618323665,10000,0.00258014332732704
